分类,零件代号,目标文件名,来源路径
01_塔基壳体,E-MS-PG,E-MS-PG.prt,Y:/公模花鼓\M400\3D\E-MS-PG.prt
01_塔基壳体,E-XD-PG,E-XD-PG.prt,Y:/公模花鼓\M400\3D\E-XD-PG.prt
01_塔基壳体,M-11S-PG,M-11S-PG.prt,Y:/公模花鼓\CM300\CM300R\3D\M-11S-PG.prt
01_塔基壳体,M-XD-PG,M-XD-PG.prt,Y:/公模花鼓\CM300\CM300R\3D\M-XD-PG.prt
01_塔基壳体,M-XTR-PG,M-XTR-PG.prt,Y:/公模花鼓\CM300\CM300R\3D\M-XTR-PG -DT.prt
01_塔基壳体,M36-11S-3P,M36-11S-3P.prt,Y:/公模花鼓\SR260\CAM\M36-11S-3P-10.prt
01_塔基壳体,M36-11S-3P-SL,M36-11S-3P-SL.prt,Y:/FAR\SR250\CAM\M36-11S-3P-SL.prt
01_塔基壳体,M36-XDR-3P,M36-XDR-3P.prt,Y:/FAR\SR250\CAM\M36-XDR-3P.prt
01_塔基壳体,M41-11S-4P,M41-11S-4P.prt,Y:/EXS\JR8343\CAM\M41-11S-4P.prt
01_塔基壳体,M41-11S-6P,M41-11S-6P.prt,Y:/公模花鼓\JR340\CAM\M41-11S-6P-250723.prt
01_塔基壳体,M41-XDR-6P,M41-XDR-6P.prt,Y:/公模花鼓\SR340\CAM\M41-XDR-6P.prt
01_塔基壳体,M43-11S-4P-SL,M43-11S-4P-SL.prt,Y:/FAR\SR320-V\CAM\M43-11S-4P-SL.prt
01_塔基壳体,M43-XDR-4P,M43-XDR-4P.prt,Y:/FAR\SR320-D\SR320R-D\3D\M43-XDR-4P.prt
01_塔基壳体,PG-11S,PG-11S.prt,Y:/EXS\JR8180\CAM\PG-11S-Ti 精雕.prt
01_塔基壳体,PG-11S-SL,PG-11S-SL.prt,Y:/PG-11S-SL 塔基锻坯.prt
01_塔基壳体,PG-7S-1,PG-7S-1.prt,Y:/三也\T8280\CAM\PG-7S-1 定位柱.prt
01_塔基壳体,PG-BMX-1,PG-BMX-1.prt,Y:/公模花鼓\BMX\3D\PG-BMX-1.prt
01_塔基壳体,PG-CP,PG-CP.prt,Y:/公模花鼓\HX825\HX825R\3D\PG-CP.prt
01_塔基壳体,PG-MSR-1,PG-MSR-1.prt,Y:/PG-MSR 塔基锻坯.prt
01_塔基壳体,PG-N3W,PG-N3W.prt,Y:/公模花鼓\HW321\HW321R\3D\专利申请\PG-N3W.prt
01_塔基壳体,PG-XDR,PG-XDR.prt,Y:/EXS\JR8180\CAM\PG-XDR-Ti.prt
02_套管,02TG151040A,02TG151040A.prt,Y:/公模花鼓\M400\3D\02TG151040A.prt
02_套管,02TG151150A,02TG151150A.prt,Y:/公模花鼓\M400\3D\02TG151150A.prt
02_套管,02TG151536A,02TG151536A.prt,Y:/定制花鼓\8268\8268R\2D\02TG151536A.prt
02_套管,02TG1515SLA,02TG1515SLA.prt,Y:/Brisk\BV3\BV3R\3D\02TG1515SLA.prt
02_套管,02TG1517SLA,02TG1517SLA.prt,Y:/三唯乐\T601\3D\02TG1517SLA.prt
02_套管,02TG191540A,02TG191540A.prt,Y:/碳度\T210R\3D\02TG191540A.prt
02_套管,DQ-15*10-1,DQ-1510-1.prt,Y:/公模花鼓\CM300\CM300R\3D\DQ-1510-1.prt
02_套管,DQ-15*11-SX,DQ-1511-SX.prt,Y:/EXS\JR8180\JR8180R\2D\DQ-1511-SX.prt
02_套管,DQ-15*12-1,DQ-1512-1.prt,Y:/STREN\C001\C001R\3D\DQ-1512-1.prt
02_套管,DQ-15*13-N3W,DQ-1513-N3W.prt,Y:/公模花鼓\HX825\HX825R\3D\DQ-1513-N3W.prt
02_套管,DQ-15*14-1,DQ-1514-1.prt,Y:/公模花鼓\CM300\CM300R\3D\DQ-1514-1.prt
02_套管,DQ-15*15-1,DQ-1515-1.prt,Y:/公模花鼓\SR310\SR310R\2D\DQ-1515-1.prt
02_套管,DQ-15*28-1,DQ-1528-1.prt,Y:/公模花鼓\JR340\JR340R-CL\2D\DQ-1528-1.prt
02_套管,DQ-17*11-1,DQ-1711-1.prt,Y:/FAR\SR250\后花鼓\2D\DQ-1711-1.prt
02_套管,DQ-17*16-1,DQ-1716-1.prt,Y:/公模花鼓\SR260\SR260R\2D\DQ-1716-1.prt
02_套管,DQ-17*20-1,DQ-1720-1.prt,Y:/FAR\SR250\后花鼓\2D\DQ-1720-1.prt
